año, competición, estado
2014, Torneo de Liga, Subcampeón
2014, Copa Sudamericana, Campeon
2014, Copa Argentina, No logrado
2015, Torneo de Liga, No logrado
2015, Supercopa Argentina , Subcampeon
2015, Copa Argentina, No logrado
2015, Recopa Sudamericana, Campeon
2015, Copa Libertadores, Campeón
2015, Copa Suruga Bank, Campeon
2015, Mundial de clubes, Subcampeon 
2015, Copa Sudamericana, No logrado
2016, Torneo de la liga, No logrado
2016, Copa Libertadores, No logrado
2016, Copa Argentina, Campeón 
2016, Recopa Sudamericana, Campeón 
2017, Torneo de Liga, Subcampeón
2017, Supercopa Argentina, Campeón
2017, Copa Libertadores, No logrado
2018, Torneo de Liga, No logrado
2018, Copa Libertadores, Campeon
2018, Copa Argentina, No logrado
2018, Copa Mundial de Clubes, No logrado
2019, Torneo de la Liga, No logrado
2019, Copa Argentina, Campeon
2019, Copa Superliga, No logrado
2019, Copa Libertadores, Subcampeón
2019, Recopa Sudamericana, Campeon
2020, Torneo de Liga, Subcampeón
2020, Copa Libertadores, No logrado
2021, Copa Libertadores, No logrado
2021, Copa de la Liga Profesional, No logrado
2021, Supercopa Argentina, Campeon






