Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos\
;DIPUTADOS NACIONALES;00001;Ciudad Aut\'f3noma de Buenos Aires;Esc. N\'ba26 Hip\'f3lito Yrigoyen;12-09-2021 19:54;3;00001;1;1;00001X;Comuna 1;;;;;nulos;0\
;DIPUTADOS NACIONALES;00001;Ciudad Aut\'f3noma de Buenos Aires;Esc. N\'ba26 Hip\'f3lito Yrigoyen;12-09-2021 19:54;3;00001;1;1;00001X;Comuna 1;;;;;recurridos;0\
;DIPUTADOS NACIONALES;00001;Ciudad Aut\'f3noma de Buenos Aires;Esc. N\'ba26 Hip\'f3lito Yrigoyen;12-09-2021 19:54;3;00001;1;1;00001X;Comuna 1;;;;;comando;0\
;DIPUTADOS NACIONALES;00001;Ciudad Aut\'f3noma de Buenos Aires;Esc. N\'ba26 Hip\'f3lito Yrigoyen;12-09-2021 19:54;3;00001;1;1;00001X;Comuna 1;;;;;blancos;3\
;DIPUTADOS NACIONALES;00001;Ciudad Aut\'f3noma de Buenos Aires;Esc. N\'ba26 Hip\'f3lito Yrigoyen;12-09-2021 19:54;3;00001;1;1;00001X;Comuna 1;;;;;impugnados;0\
FEDERAL;DIPUTADOS NACIONALES;00001;Ciudad Aut\'f3noma de Buenos Aires;Esc. N\'ba26 Hip\'f3lito Yrigoyen;12-09-2021 19:54;3;00001;1;1;00001X;Comuna 1;8;1;1;FEDERALISMO PURO;positivo;0\
AUTONOMISTA;DIPUTADOS NACIONALES;00001;Ciudad Aut\'f3noma de Buenos Aires;Esc. N\'ba26 Hip\'f3lito Yrigoyen;12-09-2021 19:54;3;00001;1;1;00001X;Comuna 1;36;2;1;COLORADA;positivo;0\
MOVIMIENTO LIBRES DEL SUR;DIPUTADOS NACIONALES;00001;Ciudad Aut\'f3noma de Buenos Aires;Esc. N\'ba26 Hip\'f3lito Yrigoyen;12-09-2021 19:54;3;00001;1;1;00001X;Comuna 1;40;3;1;ALTERNATIVA CIUDADANA;positivo;1\
RENOVADOR FEDERAL;DIPUTADOS NACIONALES;00001;Ciudad Aut\'f3noma de Buenos Aires;Esc. N\'ba26 Hip\'f3lito Yrigoyen;12-09-2021 19:54;3;00001;1;1;00001X;Comuna 1;79;4;1;UNO - UNA NUEVA OPCI\'d3N;positivo;0\
DIGNIDAD POPULAR;DIPUTADOS NACIONALES;00001;Ciudad Aut\'f3noma de Buenos Aires;Esc. N\'ba26 Hip\'f3lito Yrigoyen;12-09-2021 19:54;3;00001;1;1;00001X;Comuna 1;88;5;1;FRENTE PATRIOTA;positivo;0\
SOCIALISTA AUT\'c9NTICO;DIPUTADOS NACIONALES;00001;Ciudad Aut\'f3noma de Buenos Aires;Esc. N\'ba26 Hip\'f3lito Yrigoyen;12-09-2021 19:54;3;00001;1;1;00001X;Comuna 1;184;6;1;ACUERDO VERDE Y SOCIAL;positivo;2\
AUTODETERMINACI\'d3N Y LIBERTAD;DIPUTADOS NACIONALES;00001;Ciudad Aut\'f3noma de Buenos Aires;Esc. N\'ba26 Hip\'f3lito Yrigoyen;12-09-2021 19:54;3;00001;1;1;00001X;Comuna 1;187;7;1;QUE LOS PUEBLOS MANDEN;positivo;7\
