{\rtf1\ansi\ansicpg1252\cocoartf2580
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\paperw11900\paperh16840\margl1440\margr1440\vieww13440\viewh7800\viewkind0
\pard\tx566\tx1133\tx1700\tx2267\tx2834\tx3401\tx3968\tx4535\tx5102\tx5669\tx6236\tx6803\pardirnatural\partightenfactor0

\f0\fs24 \cf0 Temporada, Equipo, Pais, Local\'eda, Resultado, Competencia, Instancia, Latitud, Longitud, Final, Puntos\
2014, Libertad, Paraguay, Paraguay, 1-3, Copa Sudamericana, Octavos, 00, 00, Perdimos, 0\
2014, Libertad, Paraguay, Argentina, 2-0, Copa Sudamericana, Octavos, 00, 00, Ganamos, 3\
2014, Atletico Nacional, Colombia, Colombia, 1-1, Copa Sudamericana,Final, 00, 00, Empatamos, 1\
2014, Atletico Nacional, Colombia, Argentina, 2-0, Copa Sudamericana,Final, 00, 00, Ganamos, 3\
2015, San Jose, Bolivia, Bolivia, 0-2, Copa Libertadores, Grupo, 00, 00, Perdimos, 0\
2015, San Jose, Bolivia, Argentina, 3-0, Copa Libertadores, Grupo, 00, 00, Ganamos, 3\
2015, Tigres, Mexico, Argentina, 1-1, Copa Libertadores, Grupo, 00, 00, Empatamos, 1\
2015, Tigres, Mexico, Mexico, 2-2, Copa Libertadores, Grupo, 00, 00, Empatamos, 1\
2015, Juan Aurich, Peru, Peru, 1-1, Copa Libertadores, Grupo, 00, 00, Empatamos, 1\
2015, Juan Aurich, Peru, Argentina, 1-1, Copa Libertadores, Grupo, 00, 00, Empatamos, 1\
2015, Cruzeiro, Brasil, Argentina, 0-1, Copa Libertadores, Octavos, 00, 00, Perdimos, 0\
2015, Cruzeiro, Brasil, Brasil, 3-0, Copa Libertadores, Octavos, 00, 00, Ganamos, 3\
2015, Cruzeiro, Brasil, Brasil, 3-0, Copa Libertadores, Octavos, 00, 00, Ganamos, 3\
2015, Guaran\'ed , Paraguay, Argentina, 2-0, Copa Libertadores, Semifinal, 00, 00, Ganamos, 3\
2015, Guaran\'ed , Paraguay, Paraguay, 1-1, Copa Libertadores, Semifinal, 00, 00, Empatamos, 1\
2015, Tigres, Mexico, Mexico, 0-0, Copa Libertadores, final, 00, 00, Empatamos, 1\
2015, Tigres, Mexico, Argentina, 3-0, Copa Libertadores, final, 00, 00, Ganamos, 3\
2016, Trujillanos, Venezuela, Venezuela, 4-0, Copa Libertadores, Grupo, 00, 00, Ganamos, 3\
2016, Trujillanos, Venezuela, Argentina, 4-3, Copa Libertadores, Grupo, 00, 00, Ganamos, 3\
