Año, Resultado,  Rival, Torneo, Estado
2018,	2-0 , Olimpo, 	Primera División, Ganamos
2018,	2-2 , Godoy Cruz,	Primera División, Empatamos
2018,	1-1 , Chacarita,	Primera División, Empatamos
2018,	2-0 , Rosario Central,	Primera División, Ganamos
2018,	2-0 , Estudiantes	,Primera División , Ganamos
2018,	2-0 , San Lorenzo,	Primera División , Ganamos
2018,	0-0 , Argentinos,	Primera División , Empatamos
2018,	1-0 , Aldosivi,	Primera División , Ganamos
2018,	2-1 , Emelec,	Copa Libertadores , Ganamos
2018,	0-0 , Independiente Santa Fe, Copa Libertadores , Empatamos
2018,	0-0 , Flamengo,	Copa Libertadores, Empatamos
2018,	3-0 , Racing,	Vuelta Octavos de final | Copa Libertadores, Ganamos
2018,	0-1 , Gremio,	Ida semifinales | Copa Libertadores, Perdimos
2019,	4-1, Newell's,	Superliga ,Ganamos
2019,	3-0, Independiente, Superliga ,Ganamos
2019,	2-3, Tigre,	Superliga ,Perdimos
2019,	3-0, Lanús,	Superliga, Ganamos
2019,	0-1, Talleres,	Superliga, Perdimos
2019,	1-2, Vélez,	Superliga,Perdimos
2019,	2-0, Patronato,	Superliga,Ganamos
2019,	2-1, Colón,	Superliga ,Ganamos
2019,	0-1, Rosario Central,	Superliga, Perdimos
2019,	0-1, San Lorenzo,	Superliga,Perdimos
2019,	6-0, Aldosivi,	Copa Superliga, Ganamos
2019,	4-1, Atlético Tucumán,	Copa Superliga, Ganamos
2019,	3-0, Alianza Lima,	Copa Libertadores ,Ganamos
2019,	2-2, Internacional,	Copa Libertadores, Empatamos 
2019,	2-0, Cerro Porteño,	Ida cuartos Libertadores, Ganamos
2019,	2-0, Boca,	Ida semifinales Libertadores,Ganamos


